class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
pos,406884,,,,,,0,0,0,0,217260,9517738,32609278,15650362,1822266,60604,22733630,463828,8964,,0,0,38851688,27604642,24011304,10720650,,0,15136,0,,,0,0,0,0,0,0,67066,59800272,10170,0,841220,161452,133628,14364620,41835166,2541402,18,2,0,0,21815436,17441256,5760322,3697442,2724986,2333788,2312556,3045784,730082,15856,62878490,,,,,22733630,1245370,9820174,14127348,734240,710200,623840,605680,545660,491460,506700,677820,453120,406883.85,62878490,62878490,62522010,253165,,,1021580,59877508,1209600,,,,,46190875.2,0.0,13616364.48,,,0,0,1312,1293672,15976824,29645760,11245290,1521024,186590,7036,,,62878490,,87728,34516,7379446,10567652,23678180,17614254,507202,8530,0,0,,,,,,,,,,,,,,,,,,,,767376,,,,,,,,,,,,,,,,13906666,33854976,6574514,2920250,2344686,225474,35754,10032,5086,70,,
pos,1381894,,,,0,0,0,75826,2248574,15354700,35283396,34988924,12274280,4801460,1303304,87122,47342178,25420,51450,,3850908,5330748,87350422,79469810,20703792,10869298,30,0,84280,0,39244,3736,0,0,0,0,0,0,0,18889518,87426930,101138,96458,83850,163518,569192,44158244,61344626,908,790,0,0,26803820,30955926,11120276,8814758,6716734,5213056,4937856,7866018,3249440,739702,111900348,39326,78724,62146,96,47342178,1393676,8701566,11986438,195260,208740,259620,288320,312700,235740,251320,246860,113520,1381894.25,111900348,111900348,111901296,831016,349242,,588780,106417586,1209600,2214042,,,,75007210.56,21624710.4,9747388.8,4568,12216,119936,3959094,16313372,36694826,31922448,16098242,1217506,79440,12596,126,,7388,111900348,,25452,6828,9927020,4036068,38847294,53421066,153858,0,0,0,4514,27134,42596648,15095438,282,255668,0,0,50198576,72296,1670,,,,,,,,,774782,623660,160414,2662371826,30418516,3224778,567594,21507200,4322026,18776358,195492,0,0,,11877.84,13184,31762888,13133350,10213626,4414672,9734808,9392668,12838604,14259478,667426,66,0,0
pos,1036420,,,,,,0,0,0,4488,1230010,22864034,46568192,13392358,530534,3480,,,,,,,,,,,,,,,,,0,0,0,0,0,2117124,73100264,6550106,2825602,0,238040,218682,539434,4259762,45803504,33530480,3186,8,0,0,44162296,14630374,7722226,5679030,5071992,5243568,2005812,77798,0,0,,,,,,,,,,,,,,,,,,,1036420.28,,,89374240,364106,,,,84593096,,,,,,64705539.84,0.0,19832048.64,0,0,0,0,216704,8235342,36314290,32265774,6766542,668198,124842,1404,,,,,95306,19902,7535576,11228952,6328942,40539400,18585034,259914,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40101.26,45414,20792628,18581346,9227240,4629102,8346126,7159104,6572146,4189752,5037710,57942,,
pos,341996,,,,0,0,0,0,0,24598,317188,12095110,19051746,3222948,52968,0,11042326,21534,0,,15576,23038,26071628,21219350,10738312,3569422,0,0,0,0,0,0,0,0,0,0,0,291176,27429286,2376400,4667696,0,102908,59554,92268,161822,5706768,28019576,621510,126,26,0,20874866,5040814,2397544,1305350,1259834,2324310,1503710,58130,0,0,36839670,0,1462,4344,15856,11042326,657688,3684176,7023260,189540,188920,183500,301460,153440,298820,474140,405400,81440,341996.13,36839670,36839670,35825706,141927,3950924,,412940,34764558,1209600,0,,,,27309782.4,0.0,7380788.16,87040,,0,2276,78926,2738144,15952668,13279036,2274782,340960,94878,2888,,0,36839670,,64596,13450,4278900,3517152,4578660,18240006,3993756,78006,32,0,,,,,,,,,,55856,1408,,,,,,,,,321486,214116,59780,0,0,1742484,305244,64140760,19497712,0,0,0,0,,1.16,0,8103452,12096922,4468102,1422974,3581324,2990914,1580312,444932,74578,1048,0,0
pos,612118,,,,,,0,0,0,25482,1432352,15393580,20156480,3143310,63002,280,18837536,0,0,,28500,52132,32045074,27128254,10402900,4746296,,0,22236,0,,,0,0,0,0,510932,9239748,15425994,11387036,3650776,0,32496,32256,83118,478724,26609332,12896052,82508,0,0,0,10297922,7108214,2699800,2281590,2104234,2793266,5317520,6681332,903714,26894,42481244,,,,,18837536,620094,5616450,4725530,334840,295180,309560,348560,353000,260520,288240,317220,15220,612117.36,42481244,42481244,42500938,363074,,,57380,40214486,1209600,,,,,36289678.08,0.0,3910481.28,,,0,714,177584,4979668,18239924,15208476,1408014,162832,35280,1994,,,42481244,,24662,5722,1586990,1338644,5634148,29882238,1730274,11808,0,0,,,,,,,,,,,,,,,,,,,,453272,,,,,,,,,,,,,,,,4038724,8425352,5724636,2962064,6550962,5760868,3747150,1615060,1375434,14236,,
pos,34752,,2130706432,158,0,0,0,0,0,44,58770,1325152,1086792,105288,6764,0,1249130,23884,0,0,2436,6422,1985048,1342208,939512,532542,0,0,0,0,1680,208,0,0,0,0,0,0,34266,1741930,806614,0,2694,674,1050,1788,104618,2471214,772,0,0,0,582882,750572,171288,138552,121308,104686,133102,394508,182194,3718,2927924,74,654,104,92,1249130,49784,446414,488626,371160,383680,,,,,,,174560,34751.44,2927924,2927924,2873940,22151,2728,41222,498660,2582810,1209600,83694,2,92,0,2184456.0,0.0,394807.68,0,348,0,0,7842,306612,1147702,949106,156170,13280,1964,134,80,96,2927924,,6132,932,39614,138566,135896,1314044,907166,40194,264,2,188,626,2173796,400,0,318,0,32,2230166,3872,682,0,0,0,0,0,0,0,0,40560,41446,15024,0,0,40936,7110,2918660,374030,395800,3790,0,0,4751430,1906.56,2138,424724,525062,445964,226850,406512,243950,149538,73928,84924,1358,0,0
pos,816316,,56,,0,0,0,0,0,18604,1390920,4718660,1605642,148024,8066,0,21971642,12922,0,0,2203208,3946600,36482040,31612946,21919394,5914796,0,0,0,0,372,84,0,0,0,0,0,0,966,1239152,6649798,0,20504,20104,28382,47562,6245266,1528096,2,0,0,0,1775822,2252184,1623780,919816,411806,250124,231244,392618,32436,86,60609844,1166,1598,880,0,21971642,679768,12459926,9445462,547180,510480,469960,566320,586520,571900,446500,498700,22880,816316.4,60609844,60609844,9530340,56375,11930,65374,64560,7889916,1209600,0,,,,40681610.88,0.0,8632372.8,994,2652,0,70,117594,2804510,3670216,1185846,92520,17094,2050,16,,0,60609844,,7458,1294,814516,556282,1096544,5412872,950,0,0,0,,,,,,,,,,4074,372,0,0,0,0,0,0,0,0,439874,14288,3314,0,0,75396,11080,2766460,329090,0,0,0,0,6316400,2855.64,3324,1292280,793764,358428,145486,388750,1399606,3317232,115936,78434,0,0,0
pos,120540,0,5584,4730,0,0,0,0,13352,724032,4763708,5734042,1522372,319288,19830,18,5337772,0,0,0,325094,488168,10286374,8867968,2891280,1549008,2,0,0,0,15040,630,0,0,0,0,0,0,0,772028,12017842,306772,14698,6916,9292,10760,26300,11563192,743744,721692,48,0,5415110,3633360,1203294,696990,504904,390558,321168,251988,135898,543372,13504986,1660,5092,1430,14,5337772,243076,990176,1893236,323580,258440,251600,258260,237940,271660,264700,224740,41800,120540.09,13504986,13504986,13384050,53807,2452,7022,178080,13102284,1209600,649128,0,532,0,9660102.72,642417.6,2782440.0,108,1186,1134,48270,843282,2281748,4759446,2726768,1129312,736480,490636,79566,408,480,13504986,0,16024,2034,2904072,1032630,1205630,6198684,1629722,107486,360,0,7382,1254,9354410,1358810,0,354,0,0,9805266,23502,2192,725890,893936,0,0,0,0,0,0,110360,44938,10778,0,0,716008,114144,249400,28792,0,0,0,0,34556060,4844.96,4968,3642498,4265726,1818388,622054,1291856,726114,686860,42256,890,0,0,0
pos,491292,0,1142,648,0,0,0,0,0,0,0,0,0,0,0,0,21758802,0,0,0,744800,1165646,36466426,28210392,13966202,8412382,0,0,0,0,12936,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51180276,15430,31280,85838,26,21758802,756912,2888736,11057722,552280,520940,443960,450680,426180,406600,284180,275280,154040,491291.57,51180276,51180276,228,0,3682,114608,332120,0,1209600,1065808,0,1506,0,30794722.56,14147238.72,5548794.24,0,0,0,0,0,0,0,0,0,0,0,0,12,32,51180276,0,0,0,0,0,0,0,0,0,0,0,1042,1524,29793872,10989586,0,414,0,0,31309986,50942,16032,0,0,6490,14154422,0,0,0,0,483820,150210,26192,64553834,11545366,1266504,173300,6063020,628628,25219588,88348,0,0,49971140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pos,975026,4,3392,,662,2648,0,732,380274,1828136,10621162,12141184,3456906,380826,53888,6978,26204712,0,192,,7286152,12517768,48670592,51219492,33088992,3370816,120,0,0,0,11704,3812,0,0,0,0,0,29290,4450738,15903424,8486634,0,100324,47602,51342,74568,334258,26141426,894394,1226172,0,0,10745108,8055664,3155016,1660918,1089998,801814,648830,550946,370890,1790902,89041442,69700,18528,50456,282,26204712,577632,28031890,5045648,538100,559820,603020,614900,623980,559900,570580,591420,338180,975025.84,89041442,89041442,45188024,149202,12478,,710200,28858812,1209600,1489216,,,,52612735.68,1253366.4,3998784.96,8166,13146,154128,368314,1759840,3839098,8143074,6210548,4375746,2393570,963282,662486,,5770,89041442,0,51150,6482,1477938,1013978,893190,22258222,3103142,65914,70,0,3048,26948,47092088,21700026,356,773562,0,0,48003172,68340,1774,,,,,,,,,409884,283558,62604,97417230,12277284,2064390,270124,1865960,239864,82424048,906552,0,0,,,15042,2550544,3653736,4170456,3084186,3753066,2081086,7218390,2357488,1134,0,0,0
pos,583654,0,386,,0,0,0,0,69204,1333800,5392718,5685692,3790768,1645342,489470,3686,30083992,18048,728,,2739482,4114874,63639292,59975404,12461838,5603472,0,0,0,0,716,100,0,0,0,0,0,4604,2459104,5053780,10893192,0,17918,7518,10176,19702,285226,13644308,2148908,2270594,6320,10,11569434,2423832,1186718,775328,564250,409256,315082,243184,126280,797316,78841182,1916,1782,870,0,30083992,616804,3272992,9170792,241660,324120,387600,356320,440900,319520,240620,244620,110600,583654.26,78841182,78841182,80683584,65076,66048,,163480,77601312,1209600,0,,,,33614941.44,26883863.04,14887799.04,342,2992,12630,240564,3082706,4747512,4380250,3189620,1711850,816502,218668,10378,,0,78841182,0,12374,2128,776752,4324670,2271734,6528608,4385936,108414,64,0,,,,,,,,,,8582,332,0,0,12520,5204146,0,0,0,0,366230,37270,7622,12518220,1895014,227760,34710,8238840,992302,11713348,7012,0,0,67271580,4966.36,4416,10518182,1875526,1079096,503976,1166918,1225460,1206126,824148,11248,0,0,0
pos,409078,,156,,0,0,0,0,0,0,49444,1356070,1160236,243146,18612,0,13926286,25404,0,0,660374,1198326,22992320,17536714,9891218,5651258,0,0,0,0,264,0,0,0,0,0,0,0,0,253608,2573900,0,1412,1940,3424,4300,71084,2745342,6,0,0,0,1326154,721488,293634,150472,84824,62894,61288,126376,378,0,33547136,2856,2326,542,2,13926286,589302,2775004,7106610,332440,409640,423400,444580,413580,420500,341620,305680,343180,409077.37,33547136,33547136,2865578,14564,1548,54710,847060,2827508,1209600,0,,,,23777792.64,1609874.88,7601354.88,34,104,0,0,7984,277970,1487804,985122,64044,4278,306,0,,0,33547136,,1474,402,898036,174704,1096546,655944,402,0,0,0,,,,,,,,,,6570,78,27510,182618,0,0,0,0,0,0,369890,14488,2264,0,0,113396,12116,5586880,682886,0,0,0,0,4202380,553.5,834,951194,530612,313194,123584,286994,182960,418840,17268,2862,0,0,0
pos,980162,,1104,,0,0,0,0,27268,2259704,12245864,10861998,2447616,179184,8358,0,27338200,5930,220,0,2904364,4273328,55802548,52212492,19503128,5369998,0,0,0,0,45212,2884,0,0,0,0,0,0,916,6559554,21469522,0,97546,63766,58970,83012,6227204,21499494,0,0,0,0,5890448,9631202,4317330,2418234,1443086,1391684,1563826,1253426,120548,208,78213046,74232,71244,6094,172,27338200,828350,13120134,6372336,332400,352240,323480,333540,318820,284480,300860,296000,178560,980162.05,78213046,78213046,34984260,201203,44092,40650,741360,28029992,1209600,0,,,,56385821.76,3732565.44,4678105.92,376,9808,0,121168,5184508,12472024,7828324,2192016,196508,33838,1606,0,,0,78213046,,24238,5260,2623110,1523044,17382102,6470786,1452,0,0,0,,,,,,,,,,54776,1992,4290510,6153796,0,0,0,0,0,0,460184,1149794,140764,0,0,1821050,194722,148590240,15174848,0,0,0,0,44134980,12796.92,13582,2750060,4549012,3604200,1924690,4809868,9533152,688612,129902,40496,0,0,0
pos,727812,,,,,,0,0,39086,2246764,2906868,2391718,1540356,835708,353612,46710,27937084,6656,244,,1980760,3838034,47771932,36734328,27409738,12483442,,0,19486,0,,,0,0,0,0,0,0,0,2186940,8173882,0,29370,38828,62442,692494,7393636,2144052,0,0,0,0,3778154,3013914,1307984,836246,556060,374708,326460,162874,4372,50,77164776,,,,,27937084,1331768,6207434,21151650,267480,246940,268260,524740,454960,447860,571040,591080,229160,727811.96,77164776,77164776,10545580,45508,,,890280,10360822,1209600,,,,,51291178.56,7806784.32,16283094.72,1134,2714,0,120610,2568926,3231742,1970828,1851110,563030,52942,1572,62,,,77164776,,4944,1342,528528,2710086,722962,5402100,976088,14772,0,0,,,,,,,,,,,,,,,,,,,,853684,,,,,,,,,,,,,,2978.16,1980,3526844,2803448,2169832,321794,541090,566780,346670,81990,2374,0,,
pos,710406,,,,0,0,28,41162,992400,6197962,15317402,15816114,3964520,188152,7022,130,19768224,36094,0,,2861198,4651498,31229736,28113214,11171044,4631158,,0,0,0,0,0,0,0,0,0,0,0,79126,10125386,32259470,60910,276666,155818,229066,480754,39011546,2371038,4,0,0,0,7025300,13126716,8267294,5365382,2903592,1811932,1456798,1407906,698332,461640,45270648,,,0,0,19768224,689118,3969580,7170590,327000,347600,339880,343900,405500,334840,247560,240760,144900,710405.74,45270648,45270648,45145552,316720,,,432640,42524892,1209600,0,,,,35960370.24,0.0,6531907.2,4480,15176,209334,3214114,10326062,15718988,10312690,2428294,264472,43368,2902,4668,,,45270648,,36256,7334,2676364,3312138,6887492,29576190,29118,0,0,0,,,,,,,,,,0,,,,,,,,,,474616,,,,,,,,,,,,,,16056.8,18878,6750846,4705646,2832682,1431196,4175258,7073672,9108726,6307290,139576,0,,
pos,482076,,,,,,0,0,2466,503468,9950680,19993640,20344946,3683630,191778,14876,22503180,183138,174,,125832,285472,34854224,22856112,20319012,11927728,,0,224040,0,,,11402778,4518794,4790318,3057712,2812738,3598724,14958052,7733358,1813010,0,64430,71980,124376,5584102,38134182,10705990,424,0,0,0,28525816,7646652,4189782,3533538,3675900,3817510,2752396,535580,8228,82,55306140,,,,,22503180,1009656,8176026,12106432,468160,446620,518640,405700,438540,426600,428220,406920,307220,482075.37,55306140,55306140,55344694,291559,,,774140,54685484,1209600,,,,,47194036.8,0.0,7465093.44,,,0,4304,429582,10932972,26133534,14832678,1999088,293686,56302,3338,,,55306140,,45576,9840,5119178,3112528,10343526,32228118,3800296,26422,0,0,,,,,,,,,,,,,,,,,,,,747874,,,,,,,,,,,,,,,,7839618,27887028,13220774,2549264,2091438,712950,257080,74410,52592,330,,
